# Broken Arrow Realism Overhaul - visée des mitrailleuses et lance-grenades par affût, pareil pour les deux camps. OEIL = tireur qui vise à l'oeil sur un affût ouvert (tourelleau, anneau, pivot, portière d'hélicoptère). LUNETTE = lunette simple ou trépied stable. Les affûts à caméra (tourelleaux téléopérés, coaxiales, canons d'hélicoptères d'attaque) et les véhicules à vérifier ne sont pas listés : portée inchangée. TurretId vide = toutes les tourelles de l'unité. Portées dans AffutsPortees.csv. Fichier généré.
Option;UnitId;WeaponId;TurretId;Classe;UnitName;WeaponName
OPTION_VISEE_OEIL;47;18;;OEIL;Humvee;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;48;18;;OEIL;Humvee GMV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;49;18;;OEIL;Flyer GMV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;51;18;;OEIL;Humvee LRAS3;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;82;18;;OEIL;M1301 ISV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;99;18;;OEIL;IFAV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;184;18;;OEIL;RSOV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;432;18;;OEIL;BALT Humvee ;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;433;18;;OEIL;BALT G-Wagen;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;535;18;;OEIL;DLC2 HMMWV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;505;18;;OEIL;DLC2 Rover Defender;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;52;18;;OEIL;LMTV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;84;18;;OEIL;MTVR;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;164;18;;OEIL;LVSR;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;241;18;;OEIL;M1075A1 PLS;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;242;18;;OEIL;HEMTT;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;390;18;;OEIL;MTV;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;392;18;;OEIL;LMTV War Pig;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;421;18;;OEIL;M985 Battleship;HMG M2 Browning 12.7 (vehicles)
OPTION_VISEE_OEIL;163;18;;OEIL;Patriot PAC-2;HMG M2 Browning 12.7 (vehicles)
