# Broken Arrow Realism Overhaul - vraies stats (données v1). Fichier généré par le mod à chaque version : pour changer une valeur, utiliser les fichiers *_override.csv du dossier parent.
Option;Id;Name;MagazineReloadTimeMin;MagazineReloadTimeMax;MagazineSize;FlashPerShot;AimTimeMin;AimTimeMax;TimeBetweenBurstsMin;TimeBetweenBurstsMax;CanShootOnTheMove
;9;MainGun 125 T72B 2A46M;6.5;;;;;;;;
;349;MainGun 125 T72BA 2A46M;6.5;;;;;;;;
;516;MainGun 125 T72B 2A46M HEAT;6.5;;;;;;;;
;197;MainGun 125 Sprut 2A75;7.5;;;;;;;;
;221;MainGun 125 T72B3;6.5;;;;;;;;
;1023;MainGun 125 T72B3 obr16;6.5;;;;;;;;
;222;MainGun 125 T80BVM 2A46M4 ;7.1;8;;;;;;;
;334;MainGun 125 T80BV 2A46M1;7.1;8;;;;;;;
;321;MainGun 76 PT76 D56TS;7.5;10;;;;;;;
;322;Autocannon 57 AU220M PT76;;;80;;;;;;
;332;MainGun 125 T90 2A46M2 ;6.5;;;;;;;;
;333;MainGun 125 T90M 2A46M501;6.5;;;;;;;;
;335;MainGun 125 T80U 2A46M1;7.1;8;;;;;;;
;336;MainGun 125 T80UM 2A46M1;7.1;8;;;;;;;
;337;MainGun 125 T80UA 2A46M4;7.1;8;;;;;;;
;901;MainGun 115 2A20 T1 NoAtgm;7.5;8.5;;;;;;;
;903;MainGun 115 2A20 T1;7.5;8.5;;;;;;;
;904;MainGun 115 2A20 T2;7.5;8.5;;;;;;;
;913;MainGun 125 T72A 2A46 ;6.5;;;;;;;;
;258;MainGun 105 M8AGS XM35;;5;;;;;;;
;585;ATGM KornetM x1 ;30;30;;;;;;;
;716;ATGM Spike LR x1;15;15;;;;;;;
;733;RocketLauncher 90 Pvpj1110 ;7.5;7.5;;3;;;;;
;782;ATGM Spike LR x1 Static;15;15;;;;;;;
;511;Howitzer 152 2A64 T2 MSTA-S;7.5;7.5;;;;;;;
;3;Howitzer 152 2A64 T1 MSTA-S;7.5;;;;;;;;
;41;Howitzer 105 M20 Hawkeye;7.5;7.5;;;;;;;
;562;Howitzer 105 M20 Hawkeye Loadout2;7.5;7.5;;;;;;;
;563;Howitzer 105 M20 Hawkeye Loadout3;7.5;7.5;;;;;;;
;725;Howitzer 105 M20 Hawkeye Loadout4;7.5;7.5;;;;;;;
;233;Howitzer 155 M284 M109A7;15;15;;;;;;;
;288;Howitzer 122 2A31 GvozdikaM1;12;12;;;;;;;
;289;Mortar 120 2A80 Hosta;6;;;;;;;;
;330;Howitzer 152 2A33 AkatsiyaM1;15;15;;;;;;;
;331;Howitzer 152 2A33 AkatsiyaM2;15;15;;;;;;;
;344;Howitzer 155 M284 M109A6;15;15;;;;;;;
;568;Howitzer 155 M284 M109A6 Double;15;15;;;;;;;
;636;Howitzer 203 2A44 Malka Loadout1;24;24;;;30;60;;;
;710;Howitzer 203 2A44 Malka Loadout2;24;24;;;30;60;;;
;703;Mortar Unkown UR77 x2;;;;;30;60;;;
;777;Howitzer 155 M284 M109A5O;15;15;;;;;;;
;778;Howitzer 155 M284 M109A5O Double;15;15;;;;;;;
;780;Howitzer 155 K9 Loadout1;7.5;7.5;;;;;;;
;781;Howitzer 155 K9 Loadout2;7.5;7.5;;;;;;;
;950;Howitzer 152 2A64 Malva;7.5;;;;;;;;
;10;MLRS 227 HIMARS;;;;;16;16;;;
;254;MLRS 227 HIMARS CLU;;;;;16;16;;;
;37;Ballistic ATACMS;;;;;16;16;;;
;569;Ballistic PrSM x2;;;;;16;16;;;
;92;MLRS 122 Grad HE;;;;;;;0.5;0.5;
;571;MLRS 122 Grad Cluster;;;;;;;0.5;0.5;
;573;MLRS 122 Grad Incendiary;;;;;;;0.5;0.5;
;712;MLRS 122 Grad Smoke;;;;;;;0.5;0.5;
OPTION_MISE_EN_BATTERIE;92;MLRS 122 Grad HE;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;571;MLRS 122 Grad Cluster;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;573;MLRS 122 Grad Incendiary;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;712;MLRS 122 Grad Smoke;;;;;180;180;;;
;93;MLRS 300 Smerch;;;;;;;3.5;3.5;
;572;MLRS 300 Smerch Cluster;;;;;;;3.5;3.5;
;677;MLRS 300 Smerch Tornado;;;;;;;3.5;3.5;
;678;MLRS 300 Smerch Tornado Cluster;;;;;;;3.5;3.5;
OPTION_MISE_EN_BATTERIE;93;MLRS 300 Smerch;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;572;MLRS 300 Smerch Cluster;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;677;MLRS 300 Smerch Tornado;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;678;MLRS 300 Smerch Tornado Cluster;;;;;180;180;;;
;95;MLRS 300 Kama Slow;;;;;;;4;4;
;96;MLRS 300 Kama Fast;;;;;;;4;4;
;906;MLRS 300 Kama Double;;;;;;;4;4;
;907;MLRS 300 Sarma Double;;;;;;;4;4;
OPTION_MISE_EN_BATTERIE;95;MLRS 300 Kama Slow;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;96;MLRS 300 Kama Fast;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;906;MLRS 300 Kama Double;;;;;180;180;;;
OPTION_MISE_EN_BATTERIE;907;MLRS 300 Sarma Double;;;;;180;180;;;
;218;Mortar 82 2B27 Drok;5;5;;;;;;;
;559;Mortar 82 Drok Doube;5;5;;;;;;;
;284;Mortar 82 Deva;2;2;;;;;;;
;286;Mortar 120 Dilemma;;4;;;;;;;
;293;Mortar 120 2A51M NonaSM [more rof, fcs+];6;6;;;;;;;
;292;Mortar 120 2A51 NonaS NonaSVK;6;6;;;;;;;
;290;Mortar 120 2A80 Vena;6;6;;;;;;;
;558;Mortar 120 2A80 Vena Double;6;6;;;;;;;
;555;Mortar 120 2A51 Sviristelka NonaSVK Double;6;6;;;;;;;
;16;SAM Stinger x8;240;240;;;;;;;
;26;SAM Stinger x4;120;120;;;;;;;
;20;SAM 57E6E x12 Pantsir;;;;;4;6;;;
;28;SAM x8 Tor-M1;;;;;7;10;;;False
;99;SAM x16 Tor-M2;;;;;2;3;;;
;94;SAM 9M33 x6 OsaAKM;;;;;26;26;;;
;605;SAM 9M33 x6 OsaAKM1;;;;;26;26;;;False
;281;SAM Strela10MN x4;180;180;;;;;;;
;283;SAM Sosna x12 ;;;;;5;5;;;
;328;SAM 9M311 x8 Tunguska;;;;;8;10;;;
;329;SAM 9M3111M x8 TunguskaM1;;;;;8;10;;;
;619;SAM x4 SLAMRAAM;;;;;10;10;;;
;620;SAM x6 SLAMRAAM;;;;;10;10;;;
;621;SAM AIM9 x2 SLAMRAAM ;;;;;10;10;;;
;628;SAM 57E6E x18 Pantsir;;;;;4;6;;;
;772;SAM x6 NASAMS AMRAAM;;;;;10;10;;;
;773;SAM x6 NASAMS AIM9;;;;;10;10;;;
;774;SAM x6 NASAMS AMRAAM ER;;;;;10;10;;;
;552;ATGM Hellfire x1 ;;;4;;;;;;
;112;Autocannon 23 GSh23L Pylon Helicopter;;;25;;;;;;
;776;Autocannon 20 NC621 Pylon Heli;;;36;;;;;;
;961;ATGM Hellfire x2 UAV;;;8;;;;;;
;485;Cruise Kh32;;;3;;;;;;
;429;Cruise JASSM x6 ;;;20;;;;;;
