# Broken Arrow Realism Overhaul - dégâts selon le calibre : blindage cinétique minimum par classe. Chars lourds flancs 160, arrière 150, toit 150 (HEAT arrière et toit 100) ; Bradley, AMPV, CV90, Boxer 121 avant, flancs et arrière ; Stryker avant 121, reste 41 ; VCI et chars légers avant 81, flancs et arrière 41 ; blindés légers avant 41, flancs et arrière 35. '>=' = au moins cette valeur : un blindage déjà plus épais n'est jamais réduit. Identique pour les deux camps. Option coupable : OPTION_DEGATS_CALIBRE. Fichier généré.
Option;Id;Name;KinArmorFront;KinArmorSides;KinArmorRear;KinArmorTop;HeatArmorRear;HeatArmorTop
OPTION_DEGATS_CALIBRE;1;Armor BTR80 Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;3;Armor BMP3 Base;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;4;Armor MSTAS Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;9;Armor T72B ;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;13;Armor Armata T14 Base;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;14;Armor M60A1 ERA Base;;>=160;>=150;>=150;>=100;>=100
OPTION_DEGATS_CALIBRE;15;Armor Bradley Base;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;27;Naparnik Armor;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;31;Armor LAV25A1;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;32;Armor LAV25A2;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;37;Armor LAVAT;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;38;Armor LAVATM;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;43;Armor LAVAD;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;45;Armor Guardian M1117 Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;47;Armor Bradley BUSK;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;59;Armor AMPV MC Base;>=121;>=121;>=121;;;
OPTION_DEGATS_CALIBRE;60;Armor AMPV MC BUSK;>=121;>=121;>=121;;;
OPTION_DEGATS_CALIBRE;61;Armor AMPV Base;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;62;Armor AMPV BUSK;>=121;>=121;>=121;>=41;;
OPTION_DEGATS_CALIBRE;69;Armor HMMWV Uparmored;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;70;Armor Stryker Base;>=121;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;71;Armor Stryker SRAT;>=121;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;77;Armor M1A1HC Base;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;78;Armor M1A1HC TUSK;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;93;Armor AAVP7A1 Base ;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;94;Armor AAVP7A1 EAAK;>=41;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;102;Armor BMD4M Base ;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;103;Armor BMD4M Armored;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;104;Armor BMD2 BTRD Base ;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;111;Armor TyphoonK Base;;;;>=35;;
OPTION_DEGATS_CALIBRE;112;Armor Tulpan 2S4 Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;120;Armor Sprut KornetD Base;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;121;Armor Sprut Armored;;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;124;Armor T72B3;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;125;Armor T80BVM 2017;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;126;Armor T80BV;;>=160;>=150;>=150;;>=100
OPTION_DEGATS_CALIBRE;127;Armor T90;;>=160;>=150;>=150;;
OPTION_DEGATS_CALIBRE;130;Armor M109A7 Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;131;Armor M109A7 Armored;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;140;Armor BRDM2 Base;>=41;>=35;>=35;>=35;;
OPTION_DEGATS_CALIBRE;141;Armor BRDM2 Bekas;;;>=35;>=35;;
OPTION_DEGATS_CALIBRE;142;Armor JLTV;>=41;>=35;>=35;;;
OPTION_DEGATS_CALIBRE;143;Armor ACV Base;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;144;Armor M551A1 Sheridan;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;145;Armor M8AGS Base;>=81;>=41;>=41;>=41;;
OPTION_DEGATS_CALIBRE;146;Armor M8AGS ERA;;;>=41;>=41;;
OPTION_DEGATS_CALIBRE;148;Armor M113A3 Base;>=41;>=35;>=35;>=35;;
