# Broken Arrow Realism Overhaul - optiques par unité, pareil pour les deux camps, écrites sur les copies propres à chaque unité (jamais sur une ligne de capteur partagée avec d'autres unités). OpticsGround des hélicoptères = distance de reconnaissance d'un véhicule par leur viseur (Apache/Mi-28NM 8 km ... transports lourds 1,8 km). Lignes 125/342/417 : Spetsnaz GRU Mix (Verba), STT (Stinger J), Spetsnaz GRU AA (Verba), tous porteurs de missile sol-air, optique anti-aérienne 5 km comme les autres équipes sol-air (lignes 41/42 dans Capteurs.csv). Cellule vide = inchangé. Fichier généré.
Option;UnitId;SensorId;Name;OpticsGround;OpticsLowAltitude;OpticsHighAltitude
OPTION_CAPTEURS_HELICOS;270;5;AH-64E Guardian;8000;;
OPTION_CAPTEURS_HELICOS;8;5;AH-64D Longbow;8000;;
OPTION_CAPTEURS_HELICOS;380;5;Mi-28NM Mikhalych;8000;;
OPTION_CAPTEURS_HELICOS;364;20;RAH-66 Comanche;8000;;
OPTION_CAPTEURS_HELICOS;46;5;Ka-52 Alligator;7500;;
OPTION_CAPTEURS_HELICOS;271;5;Ka-52K Katran;7500;;
OPTION_CAPTEURS_HELICOS;86;3;AH-1Z Viper;7500;;
OPTION_CAPTEURS_HELICOS;256;20;Mi-28N Ohotnik;7500;;
OPTION_CAPTEURS_HELICOS;19;3;AH-64D Apache;6500;;
OPTION_CAPTEURS_HELICOS;364;3;RAH-66 Comanche;6500;;
OPTION_CAPTEURS_HELICOS;256;3;Mi-28N Ohotnik;6000;;
OPTION_CAPTEURS_HELICOS;267;20;OH-58D Kiowa Warrior;6000;;
OPTION_CAPTEURS_HELICOS;105;26;DLC3 Ka-50 Akula;6000;;
OPTION_CAPTEURS_HELICOS;263;1;Mi-35M;5500;;
OPTION_CAPTEURS_HELICOS;87;1;AH-1W Supercobra;5500;;
OPTION_CAPTEURS_HELICOS;272;3;MH-60M DAP;5500;;
OPTION_CAPTEURS_HELICOS;143;5;DLC3 Mi-8AMTSh-VN;5500;;
OPTION_CAPTEURS_HELICOS;632;3;DLC3 MDP-01 Termit;5500;;
OPTION_CAPTEURS_HELICOS;269;1;Mi-24PN;5000;;
OPTION_CAPTEURS_HELICOS;105;1;DLC3 Ka-50 Akula;5000;;
OPTION_CAPTEURS_HELICOS;262;3;MH-60M SOAR;5000;;
OPTION_CAPTEURS_HELICOS;107;3;Mi-24K;4500;;
OPTION_CAPTEURS_HELICOS;106;1;AH-6 Killer Egg;4500;;
OPTION_CAPTEURS_HELICOS;159;1;UH-1Y Venom;4500;;
OPTION_CAPTEURS_HELICOS;260;4;MH-60X Silent Hawk;4500;;
OPTION_CAPTEURS_HELICOS;100;2;Mi-24P Fantom;3500;;
OPTION_CAPTEURS_HELICOS;102;2;Mi-24VP Krokodil;3500;;
OPTION_CAPTEURS_HELICOS;267;2;OH-58D Kiowa Warrior;3500;;
OPTION_CAPTEURS_HELICOS;79;12;MH-6 Little Bird;3500;;
OPTION_CAPTEURS_HELICOS;274;1;MH-47G SOAR;3500;;
OPTION_CAPTEURS_HELICOS;145;1;Mi-8AMTSh;3000;;
