# Broken Arrow Realism Overhaul - vraies stats : munitions transportées par unité. Fichier généré.
Option;UnitId;WeaponId;AmmunitionId;Quantity
;230;322;221;24
;230;322;222;56
;240;338;209;280
;240;338;546;570
;240;194;99;600
;615;913;356;4
;2;18;19;900
;2;27;27;10400
;14;83;19;900
;14;27;27;5950
;53;18;19;900
;53;27;27;10400
;54;18;19;900
;54;27;27;10400
;182;257;168;9
;182;257;169;10
;182;18;19;1000
;182;27;27;3000
;183;258;171;20
;183;18;19;210
;183;27;27;4500
;191;18;19;900
;191;27;27;10400
;243;18;19;900
;243;27;27;10400
;244;18;19;900
;244;27;27;10400
;245;18;19;900
;245;27;27;10400
;503;708;27;2000
;3;7;9;2000
;3;270;195;200
;3;270;196;300
;3;294;3;200
;3;294;177;300
;15;27;27;2200
;15;367;25;210
;15;367;26;690
;16;27;27;2200
;16;13;278;210
;16;13;277;690
;26;27;27;2200
;26;13;278;210
;26;13;277;690
;37;27;27;2200
;37;13;278;350
;37;13;277;1150
;89;7;9;2000
;89;270;195;255
;89;270;196;245
;90;7;9;2940
;90;86;82;180
;90;86;204;120
;90;305;206;180
;90;305;205;120
;180;18;19;400
;180;23;22;100
;180;23;53;200
;208;7;9;2000
;208;294;3;200
;208;294;177;300
;208;270;195;200
;208;270;196;300
;214;7;9;2000
;214;86;82;160
;214;86;204;340
;214;305;206;160
;214;305;205;340
;253;7;9;2000
;253;306;209;160
;253;306;210;340
;254;7;9;2000
;254;306;209;160
;254;306;210;340
;255;7;9;2000
;255;306;209;160
;255;306;210;340
;365;7;9;2000
;365;194;99;290
;383;7;9;2000
;383;86;82;160
;383;86;204;340
;383;305;206;160
;383;305;205;340
;383;194;99;400
;383;270;195;255
;383;270;196;245
;386;367;25;210
;386;367;26;690
;386;27;27;2200
;387;27;27;2200
;387;367;25;350
;387;367;26;1150
;498;702;569;70
;498;702;570;130
;498;713;27;460
;1;7;9;2000
;1;2;208;100
;1;2;207;200
;1;305;206;100
;1;305;205;200
;22;23;22;140
;22;23;53;280
;23;7;9;1200
;23;306;209;100
;23;306;210;200
;29;367;25;210
;29;367;26;420
;29;27;27;1320
;78;18;19;1200
;78;21;50;864
;141;7;9;2000
;172;7;9;2000
;194;268;70;150
;206;7;9;2000
;206;198;127;6
;219;518;96;4
;235;268;70;1000
;425;7;9;2000
;425;249;163;500
;425;2;208;100
;425;2;207;200
;425;86;82;100
;425;86;204;200
;217;2;208;90
;217;2;207;210
;217;7;9;2000
;229;268;70;400
;21;18;19;400
;21;27;27;1000
;21;23;22;52
;21;23;53;104
;249;18;19;400
;467;18;19;400
;543;713;27;2000
;91;90;64;30
;91;91;65;10
