# Broken Arrow Realism Overhaul - vraies stats : exemplaires maximum par carte selon la vétérance (limites réalistes). Fichier généré.
UnitId;Name;Xp0;Xp1;Xp2;Xp3
1;BTR-82;2;2;1;1
2;M1A2 SEP v2 TUA;2;2;1;1
4;2S19M1 Msta-S;3;2;2;1
5;Stryker MC;2;2;1;1
6;Humvee TOW-2;3;2;2;1
8;AH-64D Longbow;2;2;1;1
10;AN/TWQ-1 Avenger;3;2;2;1
11;M142 HIMARS;2;2;1;1
12;DLC3 Pantsir S1;2;2;1;1
13;T-14 Armata;1;1;1;1
19;AH-64D Apache;3;2;2;1
20;Stryker M-SHORAD;3;2;2;1
21;Stryker RV;2;2;1;1
22;Stryker ICV;3;2;2;1
23;Typhoon VDV;3;2;2;1
24;Stryker MGS;2;2;1;1
27;M6 Linebacker ;3;2;2;1
28;M7 BFIST;3;2;2;1
29;LAV-25;3;2;2;1
31;Tor;2;2;1;1
33;Stryker ESV;3;2;2;1
34;LAV-AD;3;2;2;1
40;M1287 MCV;2;2;1;1
41;M1283 AMPV;3;2;2;1
44;Su-57;1;1;1;1
46;Ka-52 Alligator;2;2;1;1
47;Humvee;3;2;2;1
48;Humvee GMV;3;2;2;1
49;Flyer GMV;3;2;2;1
50;Hawkeye MWS;3;2;2;1
53;M1A1 HC;3;2;2;1
54;M1A1 FEP;3;2;2;1
62;Troopers AT;3;2;2;1
69;Stinger team;3;2;2;1
73;Rangers Stinger;3;2;2;1
78;AAVP-7A1;3;2;2;1
79;MH-6 Little Bird;3;2;2;1
82;M1301 ISV;3;2;2;1
86;AH-1Z Viper;3;2;2;1
87;AH-1W Supercobra;3;2;2;1
91;A222 Bereg;2;2;1;1
92;9K51 Grad;3;2;2;1
93;9K58 Smerch;1;1;1;1
94;Osa-AKM;3;2;2;1
96;DLC3 Typhoon-K;3;2;2;1
97;DLC3 9K58 Kama;2;2;1;1
98;2S4 Tulpan;2;2;1;1
99;IFAV;3;2;2;1
100;Mi-24P Fantom;3;2;2;1
102;Mi-24VP Krokodil;3;2;2;1
103;MQ-9 Reaper;2;2;1;1
105;DLC3 Ka-50 Akula;2;2;1;1
106;AH-6 Killer Egg;3;2;2;1
109;VDV Igla;3;2;2;1
110;VDV Kornet;2;2;1;1
120;PZRK Igla;3;2;2;1
121;PTRK Konkurs;3;2;2;1
134;PZRK Verba;3;2;2;1
141;BTR-D;3;2;2;1
142;BTR-MDM ;2;2;1;1
143;DLC3 Mi-8AMTSh-VN;2;2;1;1
145;Mi-8AMTSh;3;2;2;1
147;CAAT TOW-2A;3;2;2;1
151;Kornet-D1;2;2;1;1
154;LAV-M;2;2;1;1
155;2S41 Drok;3;2;2;1
156;S-300V4 Antey;2;2;1;1
160;AV-8B Night attack;2;2;1;1
162;M109A7 Paladin;2;2;1;1
163;Patriot PAC-2;2;2;1;1
167;DLC3 Chaborz M-6;3;2;2;1
168;Su-34;2;2;1;1
169;Su-35S;2;2;1;1
170;Orion;2;2;1;1
172;BTR-RD Robot;2;2;1;1
182;M551A1 Sheridan;2;2;1;1
183;M8 AGS;2;2;1;1
185;M113A3;3;2;2;1
189;M1064A3;2;2;1;1
190;M270A2 GMLRS;1;1;1;1
191;M1A2 SEP v3;2;2;1;1
