# Broken Arrow Realism Overhaul - vraies stats : rayons d'explosion progressifs selon la charge (dégâts plus forts au centre, zone de suppression autour). Nucléaire volontairement limité. Option coupable : OPTION_EXPLOSIONS_REELLES. Fichier généré.
Option;Id;Name;HealthAOERadius;StressAOERadius;Damage
OPTION_EXPLOSIONS_REELLES;29;InfGrenade 40x46 (M203 M320);8;15;
OPTION_EXPLOSIONS_REELLES;622;InfGrenade 40x46 (M203 M320) 300;8;15;
OPTION_EXPLOSIONS_REELLES;470;InfGrenade 40x46 M32 150m;8;15;
OPTION_EXPLOSIONS_REELLES;529;InfGrenade 40x46 225m;8;15;5
OPTION_EXPLOSIONS_REELLES;21;InfGrenade 40x102 GP30;8;15;
OPTION_EXPLOSIONS_REELLES;486;InfGrenade 40x102 GP25 150m;8;15;
OPTION_EXPLOSIONS_REELLES;911;InfGrenade 43x30 GM94 (Thermobaric);8;15;
OPTION_EXPLOSIONS_REELLES;273;InfGrenade 25x40 XM25;5;10;
OPTION_EXPLOSIONS_REELLES;762;InfGrenade 25x? TKB0257;5;10;5
OPTION_EXPLOSIONS_REELLES;117;InfGrenade 45 FG45 ;14;15;
OPTION_EXPLOSIONS_REELLES;99;Grenade 30x29 AGS17/30;10;20;
OPTION_EXPLOSIONS_REELLES;915;InfGrenade 30x29 TKB Arbalet;10;20;5
OPTION_EXPLOSIONS_REELLES;50;Grenade 40x53 NATO (Mk19);10;20;
OPTION_EXPLOSIONS_REELLES;279;Grenade 40x53 NATO Mk47;10;20;
OPTION_EXPLOSIONS_REELLES;118;Grenade 40 AGS40;10;20;
OPTION_EXPLOSIONS_REELLES;378;Round 30 2A42 T1 HE Ka29;4;8;
OPTION_EXPLOSIONS_REELLES;36;Round 30 M230LF HEDP;4;8;
OPTION_EXPLOSIONS_REELLES;74;Round 30 Bushmaster2  AC130 HE;4;8;
OPTION_EXPLOSIONS_REELLES;26;Round 25 Bushmaster T2 HE;4;8;
OPTION_EXPLOSIONS_REELLES;277;Round 25 Bushmaster T3 HE;4;8;
OPTION_EXPLOSIONS_REELLES;53;Round 30 Bushmaster2 HE T3;4;8;
OPTION_EXPLOSIONS_REELLES;204;Round 30 2A42 T1 HE;4;8;
OPTION_EXPLOSIONS_REELLES;205;Round 30 2A42 T2 HE;4;8;
OPTION_EXPLOSIONS_REELLES;210;Round 30 2A42 T3 HE;4;8;
OPTION_EXPLOSIONS_REELLES;563;Round 30 2A42 T3 HE Heli;4;8;
OPTION_EXPLOSIONS_REELLES;546;Round 30 2A42 T3 HE BMPT;4;8;
OPTION_EXPLOSIONS_REELLES;207;Round 30 2A72 T1 HE;4;8;
OPTION_EXPLOSIONS_REELLES;177;Round 30 2A72 T2 HE;4;8;
OPTION_EXPLOSIONS_REELLES;196;Round 30 2A72 T3 HE;4;8;
OPTION_EXPLOSIONS_REELLES;567;Round 30 Rarden HE;4;8;
OPTION_EXPLOSIONS_REELLES;570;Round 35 Bushmaster3 HE T3;4;8;
OPTION_EXPLOSIONS_REELLES;62;Round 20 M61 AAG HE;3;6;
OPTION_EXPLOSIONS_REELLES;262;Round 20 M61 AAG CIWS HE;3;6;
OPTION_EXPLOSIONS_REELLES;454;Round 30 M230LF HEDP AAG;4;8;
OPTION_EXPLOSIONS_REELLES;60;Round 30 2A38 Pantsir AAG HE T3;4;8;
OPTION_EXPLOSIONS_REELLES;231;Round 30 2A38 Tunguska AAG HE;4;8;
OPTION_EXPLOSIONS_REELLES;350;Round 30 GSh30K AAG HE;4;8;
OPTION_EXPLOSIONS_REELLES;534;Round 30 AK630M HE;4;8;
OPTION_EXPLOSIONS_REELLES;189;Round 23x152 ZU23M AAG HE;3;6;
OPTION_EXPLOSIONS_REELLES;162;Round 23x152 ZU23 AAG HE;3;6;
OPTION_EXPLOSIONS_REELLES;213;Round 23 AZP23 Rad AAG HE;3;6;
OPTION_EXPLOSIONS_REELLES;212;Round 23 AZP23 NoRad HE;3;6;
OPTION_EXPLOSIONS_REELLES;32;Round 25 GAU12 AAG HE;4;8;
OPTION_EXPLOSIONS_REELLES;56;Round 25 GAU12 (AC-130);7.5;15;
OPTION_EXPLOSIONS_REELLES;457;Round 20 XM301 Mixed T2;3;6;
OPTION_EXPLOSIONS_REELLES;58;Round 20 M197 Mixed T2;3;6;
OPTION_EXPLOSIONS_REELLES;79;Round 23x115 GSh23L Mixed;3;6;
OPTION_EXPLOSIONS_REELLES;161;Round 23x115 KPVB Mixed;3;6;
OPTION_EXPLOSIONS_REELLES;176;Round 23x115 AP23 Mixed;3;6;
OPTION_EXPLOSIONS_REELLES;78;Round 30 GSh30K Mixed;3;6;
OPTION_EXPLOSIONS_REELLES;307;Round 30 Bushmaster2  AC130 AP;3;6;
OPTION_EXPLOSIONS_REELLES;437;Round 23x115 GSh23L Mixed Heli Pod;3;6;
OPTION_EXPLOSIONS_REELLES;604;Round 20x102 NC621 Mixed Heli Pod;3;6;
OPTION_EXPLOSIONS_REELLES;10;Round 30 M230 HEDP Heli T3;4;8;
OPTION_EXPLOSIONS_REELLES;305;Round 25 GAU22 F35;25;35;
OPTION_EXPLOSIONS_REELLES;295;Round 20 M61 HE Planes;17;35;
OPTION_EXPLOSIONS_REELLES;332;Round 30 GSh2_30 Su25 Mixed;17;35;
OPTION_EXPLOSIONS_REELLES;90;Round 30 GSh301 Mixed;17;35;
OPTION_EXPLOSIONS_REELLES;330;Round 23x115 GSh6_23 Mixed;23;35;
OPTION_EXPLOSIONS_REELLES;333;Round 23x115 GSh23L Planes Mixed;23;35;
OPTION_EXPLOSIONS_REELLES;146;Round 25 GAU12 AV8B;17;35;
OPTION_EXPLOSIONS_REELLES;293;Round 30 GAU8 A10C Mixed;17;35;
OPTION_EXPLOSIONS_REELLES;55;Round 40 Bofors HEDP (AC-130);12;22;
OPTION_EXPLOSIONS_REELLES;201;Round 57 2A91 Derivatsiya AAG HE T3;11;22;
OPTION_EXPLOSIONS_REELLES;267;Round 57 2A91 Barbaris HE T3;11;22;
OPTION_EXPLOSIONS_REELLES;222;Round 57 AU220 HE T2.5;11;22;
OPTION_EXPLOSIONS_REELLES;199;Round 57 LShO57 HE;11;22;
OPTION_EXPLOSIONS_REELLES;491;Round 57 S60 HE T1;11;22;
OPTION_EXPLOSIONS_REELLES;507;Round 50 BushmasterV HE T3;10;20;
OPTION_EXPLOSIONS_REELLES;436;Round 73 2A28 HE T1;14;28;
OPTION_EXPLOSIONS_REELLES;435;Round 73 2A28 HEAT T1;7;24;
OPTION_EXPLOSIONS_REELLES;224;Round 76 D56TS HE T1;14;28;
OPTION_EXPLOSIONS_REELLES;223;Round 76 D56TS HEAT T1;5;24;
OPTION_EXPLOSIONS_REELLES;7;Round 100 2A70 T1 HE;20;40;
OPTION_EXPLOSIONS_REELLES;194;Round 100 2A70 T2 HE;20;40;
OPTION_EXPLOSIONS_REELLES;500;Round 100 MT12 HE T1;20;40;
OPTION_EXPLOSIONS_REELLES;499;Round 100 MT12 HEAT T1;10;30;
OPTION_EXPLOSIONS_REELLES;24;Round 105 M68 HESH T1;20;40;
OPTION_EXPLOSIONS_REELLES;171;Round 105 M68 XM35 HESH T2;20;40;
OPTION_EXPLOSIONS_REELLES;504;Round 105 XM35 HESH T3;20;40;
OPTION_EXPLOSIONS_REELLES;54;Round 125 2A46M HE T72B T72A T1;25;50;
OPTION_EXPLOSIONS_REELLES;265;Round 125 2A46M HE T72BA T2;25;50;
OPTION_EXPLOSIONS_REELLES;140;Round 125 HE T72B3 obr16 T2.5;25;50;
OPTION_EXPLOSIONS_REELLES;142;Round 125 HE T80BVM T2.5;25;50;
