# Broken Arrow Realism Overhaul - vraies stats : stock de leurres (salves) propre à chaque hélicoptère. Une même ligne de capacité sert à des hélicoptères de classes différentes, donc la valeur est écrite sur la copie des capacités de leurres de chaque hélicoptère. Mi-24/Mi-35/Mi-28 64 salves ; Ka-52, Apache et autres hélicoptères d'attaque ou d'observation 30 ; transports légers 15 ; transports moyens, lourds et forces spéciales 30. Coût de ravitaillement par salve = 1000 / stock (un plein complet coûte toujours 1000). Une salve toutes les 2,5 s au plus pendant une attaque (reel/Capacites.csv). Identique pour le joueur et l'IA. Option coupable : OPTION_LEURRES_DEVIATION. Fichier généré.
Option;UnitId;Name;Classe;DecoyQuantity;DecoySupplyCost
OPTION_LEURRES_DEVIATION;100;Mi-24P Fantom;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;102;Mi-24VP Krokodil;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;107;Mi-24K;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;263;Mi-35M;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;269;Mi-24PN;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;256;Mi-28N Ohotnik;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;380;Mi-28NM Mikhalych;MI24_MI35_MI28;64;15.6
OPTION_LEURRES_DEVIATION;46;Ka-52 Alligator;KA52_APACHE;30;33.3
OPTION_LEURRES_DEVIATION;271;Ka-52K Katran;KA52_APACHE;30;33.3
OPTION_LEURRES_DEVIATION;8;AH-64D Longbow;KA52_APACHE;30;33.3
OPTION_LEURRES_DEVIATION;19;AH-64D Apache;KA52_APACHE;30;33.3
OPTION_LEURRES_DEVIATION;270;AH-64E Guardian;KA52_APACHE;30;33.3
OPTION_LEURRES_DEVIATION;86;AH-1Z Viper;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;87;AH-1W Supercobra;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;105;DLC3 Ka-50 Akula;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;106;AH-6 Killer Egg;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;267;OH-58D Kiowa Warrior;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;272;MH-60M DAP;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;364;RAH-66 Comanche;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;632;DLC3 MDP-01 Termit;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;475;Helicopter training target;ATTAQUE_OBSERVATION;30;33.3
OPTION_LEURRES_DEVIATION;17;CH-47 Chinook;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;274;MH-47G SOAR;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;153;CH-53E Super Stallion;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;275;CH-53K King Stallion;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;80;MV-22B Osprey;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;259;CV-22B Osprey;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;261;Mi-26 Korova;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;268;Mi-38T;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;273;Ka-29;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;260;MH-60X Silent Hawk;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;262;MH-60M SOAR;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;79;MH-6 Little Bird;TRANSPORT_LOURD_FORCES_SPECIALES;30;33.3
OPTION_LEURRES_DEVIATION;7;Mi-8MTV-5 Zeleniy;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;266;Mi-8MTV-2 Pchela;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;145;Mi-8AMTSh;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;143;DLC3 Mi-8AMTSh-VN;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;81;UH-60M Blackhawk;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;428;BALT UH-60M;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;531;DLC2 UH-60M;TRANSPORT_MOYEN;30;33.3
OPTION_LEURRES_DEVIATION;159;UH-1Y Venom;TRANSPORT_LEGER;15;66.7
OPTION_LEURRES_DEVIATION;257;DLC3 KA-60;TRANSPORT_LEGER;15;66.7
OPTION_LEURRES_DEVIATION;258;DLC3 KA-226;TRANSPORT_LEGER;15;66.7
OPTION_LEURRES_DEVIATION;611;DLC3 KA-226 Cargo;TRANSPORT_LEGER;15;66.7
OPTION_LEURRES_DEVIATION;532;DLC2 AS-365 Dauphin;TRANSPORT_LEGER;15;66.7
