# Broken Arrow Realism Overhaul - vraies stats (données v1). Fichier généré par le mod à chaque version : pour changer une valeur, utiliser les fichiers *_override.csv du dossier parent.
# Colonne Stealth (option OPTION_FURTIVITE_REELLE) : furtivité par silhouette réelle, identique pour les deux camps. Plus petit = repéré plus près. Le jeu ne distingue rien aujourd'hui : toute l'infanterie de ligne vaut 0.571 et presque tous les véhicules valent 1, quelle que soit leur taille.
# Infanterie, par rôle et par nombre réel d'hommes dans l'escouade (table SquadMembers) : tireurs d'élite 0.30 ; reco 2-3 h 0.33, 4-5 h 0.38, 6 h et plus 0.45 ; forces spéciales 3-4 h 0.33, 5-9 h 0.45, 10 h et plus 0.60 ; équipes AT et sol-air 4 h 0.40, 5-6 h 0.48, 7 h et plus 0.55 ; infanterie de ligne et d'assaut 1-3 h 0.40, 4-5 h 0.50, 6-8 h 0.60, 9 h et plus 0.70. Une équipe AT de 4 hommes devient donc bien plus discrète qu'une escouade de 14.
# Véhicules terrestres, par masse réelle : moins de 3 t 0.70 ; 3-8 t 0.80 ; 8-15 t 0.90 ; 15-25 t 1.00 ; 25-35 t 1.05 ; 35-50 t 1.10 ; 50-60 t 1.15 ; 60 t et plus 1.20. Corrections : 4x4 non blindé de moins de 8 t au plus 0.80 ; camion et logistique +0.10 (au plus 1.30, caisse haute et poussière) ; batterie SAM longue portée +0.05 (au plus 1.20, mâts et lanceurs dressés). Un Abrams de 64 t vaut 1.20, un BMP de 19 t vaut 1.00, un Humvee de 4 t vaut 0.80.
# Jamais touché : hélicoptères, avions, navires, rôle None, et toute ligne que le jeu a déjà réglée à la main hors de sa valeur par défaut quand notre barème la ramènerait vers la valeur neutre (chars à 0.8 ou 1.25, LSV à 0.666, IL-76 posé à 2). Options.StealthOverride n'est jamais écrit (0 = pas de remplacement sur 2026 lignes sur 2046).
# Garde-fous du moteur, inchangés : MinimumDetectionDistance 45 m (sous 45 m tout est vu), MaxAntiVisible 1.5 (plafond après furtivité x couvert x signature de tir). Les réglages FurtiviteReco et FurtiviteVehicules restent des multiplicateurs appliqués par-dessus ces valeurs. Fichier généré.
Option;Id;Name;Cost;Stealth
;196;DLC3 Tigr Gibka;90
;211;Derivatsiya;150
;221;ZSU-23-4 Shilka;80
;222;Ural-4320 ZU-23;55
;250;Centurion C-RAM;130
;389;SLAMRAAM;150
;393;MML;140
;508;DLC2 NASAMS;160
;538;DLC2 Unimog AA;60
OPTION_FURTIVITE_REELLE;4;2S19M1 Msta-S;;1.10
OPTION_FURTIVITE_REELLE;6;Humvee TOW-2;;0.80
OPTION_FURTIVITE_REELLE;9;T-72B;;1.10
OPTION_FURTIVITE_REELLE;10;AN/TWQ-1 Avenger;;0.80
OPTION_FURTIVITE_REELLE;11;M142 HIMARS;;0.90
OPTION_FURTIVITE_REELLE;12;DLC3 Pantsir S1;;1.05
OPTION_FURTIVITE_REELLE;13;T-14 Armata;;1.15
OPTION_FURTIVITE_REELLE;14;M60A1;;1.15
OPTION_FURTIVITE_REELLE;15;M2A2 Bradley;;1.05
OPTION_FURTIVITE_REELLE;16;M2A3 Bradley;;1.05
OPTION_FURTIVITE_REELLE;23;Typhoon VDV;;0.90
OPTION_FURTIVITE_REELLE;26;M2A3 Bradley ESV;;1.05
OPTION_FURTIVITE_REELLE;27;M6 Linebacker ;;1.05
OPTION_FURTIVITE_REELLE;28;M7 BFIST;;1.05
OPTION_FURTIVITE_REELLE;29;LAV-25;;0.90
OPTION_FURTIVITE_REELLE;30;LAV-AT;;0.90
OPTION_FURTIVITE_REELLE;31;Tor;;1.05
OPTION_FURTIVITE_REELLE;34;LAV-AD;;0.90
OPTION_FURTIVITE_REELLE;37;M3A3 CFV;;1.05
OPTION_FURTIVITE_REELLE;40;M1287 MCV;;1.05
OPTION_FURTIVITE_REELLE;41;M1283 AMPV;;1.05
OPTION_FURTIVITE_REELLE;47;Humvee;;0.80
OPTION_FURTIVITE_REELLE;48;Humvee GMV;;0.80
OPTION_FURTIVITE_REELLE;49;Flyer GMV;;0.80
OPTION_FURTIVITE_REELLE;50;Hawkeye MWS;;0.80
OPTION_FURTIVITE_REELLE;53;M1A1 HC;;1.15
OPTION_FURTIVITE_REELLE;54;M1A1 FEP;;1.20
